CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
77	324	18	0.7463	-63.059
144	324	18	0.7503	-22.032
144	320	18	0.7139	72.965
42	320	18	0.9389	109.013
2	42	18	0.8368	2.038
20	30	18	0.8121	23.016
24	144	18	0.7766	-27.995
2	1007	18	0.8405	111.051
42	87	18	0.9354	0.000
320	1007	18	0.946	0.000
24	46	18	0.7997	-17.003
24	324	18	0.7463	-50.027
2	320	18	0.8146	111.051
2	87	18	0.8258	2.038
24	77	18	0.8634	13.032
64	144	18	0.7092	41.003
303	577	19	0.9393	-14.251
421	827	19	0.8691	-0.249
466	471	19	0.8472	-26.505
746	827	19	0.8633	-480.978
690	868	19	0.9067	14.006
207	466	19	0.8499	-14.001
303	995	19	0.8472	-29.498
449	690	19	0.7734	-39.768
577	995	19	0.8555	-15.246
868	948	19	0.8785	434.062
355	415	19	0.8981	454.417
